ratio,perturbation_type,perturb_time,embed_time,mean_cosine_similarity,std_cosine_similarity,min_cosine_similarity,median_cosine_similarity,mean_l2_distance,mean_relative_change,std_relative_change,rf_acc_original,rf_acc_perturbed,rf_acc_drop,rf_acc_drop_pct,func,with_node_labels,raw_mode,bins,range,harm_bins,harm_range,pol_bins,pol_range
0.05,edge_add,0.14578795433044434,1.4162354469299316,0.8938760474929518,0.09640180152834801,0.13315591032282686,0.920636754859495,141.80600977021766,0.42822159558749573,0.15805284226435734,0.5111111111111111,0.37777777777777777,0.1333333333333333,26.086956521739125,polynomial_with_labels,True,True,150.0,3.81,,,,
0.1,edge_add,0.1707162857055664,1.414121150970459,0.7296047810768077,0.1280115946842493,0.13315591032282686,0.7438452818049042,244.85061339587554,0.7019157326912235,0.16895320867660915,0.5111111111111111,0.4,0.11111111111111105,21.7391304347826,polynomial_with_labels,True,True,150.0,3.81,,,,
0.2,edge_add,0.24630475044250488,1.3453962802886963,0.44205552345026594,0.16563455695669063,0.06635852786151013,0.43092663443252693,376.08854498979207,1.0168138280882046,0.15916144413194513,0.5111111111111111,0.35555555555555557,0.1555555555555555,30.43478260869564,polynomial_with_labels,True,True,150.0,3.81,,,,
0.01,edge_remove,0.140411376953125,1.469832420349121,0.9421233527826456,0.09989946470217187,0.19567111313016955,0.9796336810335624,62.968934304667115,0.27400537047568296,0.20108679235842067,0.5111111111111111,0.3888888888888889,0.12222222222222218,23.91304347826086,polynomial_with_labels,True,True,150.0,3.81,,,,
0.05,edge_remove,0.14569520950317383,1.3825581073760986,0.9061451926802306,0.09262203860094795,0.19567111313016955,0.9332481955141576,124.36220201374844,0.40033026402531,0.15893862899873257,0.5111111111111111,0.36666666666666664,0.14444444444444443,28.26086956521739,polynomial_with_labels,True,True,150.0,3.81,,,,
0.1,edge_remove,0.13873720169067383,1.40559720993042,0.7886878196049338,0.1129934151277587,0.19567111313016955,0.8130047287340707,204.685156293048,0.6106412767722421,0.15761607760247143,0.5111111111111111,0.23333333333333334,0.27777777777777773,54.347826086956516,polynomial_with_labels,True,True,150.0,3.81,,,,
0.2,edge_remove,0.16115808486938477,1.7176799774169922,0.5540454460875253,0.15552098958187976,0.12303328864800873,0.5645709890549688,303.82153163374977,0.8585792090118537,0.15341405349781903,0.5111111111111111,0.26666666666666666,0.2444444444444444,47.826086956521735,polynomial_with_labels,True,True,150.0,3.81,,,,
1.0,node_shuffle,0.14827299118041992,2.2214457988739014,1.0,1.436155484308403e-16,0.9999999999999996,1.0,0.0,0.0,0.0,0.5111111111111111,0.5111111111111111,0.0,0.0,polynomial_with_labels,True,True,150.0,3.81,,,,
0.01,edge_add,0.286771297454834,2.035720109939575,0.9216253506016497,0.09053219002605192,0.28197623100839153,0.9529133334681922,110.95461380288516,0.3537461744480668,0.18533797207829816,0.5,0.4444444444444444,0.05555555555555558,11.111111111111116,naive_hybrid,False,True,,,150.0,30.3,150.0,3.81
0.05,edge_add,0.15358853340148926,1.9795982837677002,0.8603901571063932,0.07889961466114072,0.28197623100839153,0.8746312624995352,210.5878656135189,0.5260274105040319,0.1417369100188135,0.5,0.4111111111111111,0.0888888888888889,17.777777777777782,naive_hybrid,False,True,,,150.0,30.3,150.0,3.81
