func,with_node_labels,bins,range,generation_time,memory_mb,embedding_dim,classifier,train_accuracy,accuracy,f1_score,auc,train_time,harm_bins,harm_range,pol_bins,pol_range
polynomial,False,100.0,3.81,3.1966092586517334,1.7767515182495117,100,MLP Raw,0.5137254901960784,0.26666666666666666,0.24714817346396292,0.6508148148148148,6.884252071380615,,,,
polynomial_with_labels,True,100.0,3.81,3.1966092586517334,1.7767515182495117,103,SVM (RBF) Raw,0.6294117647058823,0.4,0.3905651469190752,0.6968888888888889,0.41387939453125,,,,
polynomial_with_labels,True,100.0,3.81,3.1966092586517334,1.7767515182495117,103,Random Forest Raw,1.0,0.5888888888888889,0.5890123534019804,0.8149629629629629,1.4423491954803467,,,,
polynomial_with_labels,True,100.0,3.81,3.1966092586517334,1.7767515182495117,103,MLP Raw,0.4803921568627451,0.35555555555555557,0.35566737006954396,0.6974814814814815,6.473451852798462,,,,
polynomial,False,150.0,3.81,4.576362609863281,2.0947675704956055,150,SVM (RBF) Raw,0.6686274509803921,0.28888888888888886,0.2815751913300933,0.6718518518518519,0.5903429985046387,,,,
polynomial,False,150.0,3.81,4.576362609863281,2.0947675704956055,150,Random Forest Raw,1.0,0.5444444444444444,0.5395044391663729,0.7845185185185187,1.3417227268218994,,,,
polynomial,False,150.0,3.81,4.576362609863281,2.0947675704956055,150,MLP Raw,0.503921568627451,0.26666666666666666,0.2535085296713204,0.6093333333333334,5.569835424423218,,,,
polynomial_with_labels,True,150.0,3.81,4.576362609863281,2.0947675704956055,153,SVM (RBF) Raw,0.7,0.3111111111111111,0.3022198594128418,0.6718518518518518,0.5670554637908936,,,,
polynomial_with_labels,True,150.0,3.81,4.576362609863281,2.0947675704956055,153,Random Forest Raw,1.0,0.5222222222222223,0.5229784769296264,0.801111111111111,1.4915788173675537,,,,
polynomial_with_labels,True,150.0,3.81,4.576362609863281,2.0947675704956055,153,MLP Raw,0.8254901960784313,0.35555555555555557,0.3513363339503496,0.693037037037037,8.591755390167236,,,,
polynomial,False,200.0,3.81,4.621735095977783,2.4884443283081055,200,SVM (RBF) Raw,0.7274509803921568,0.4111111111111111,0.39721181463468214,0.6797037037037038,0.6263649463653564,,,,
polynomial,False,200.0,3.81,4.621735095977783,2.4884443283081055,200,Random Forest Raw,1.0,0.4888888888888889,0.4834686577063728,0.7771851851851852,1.2140390872955322,,,,
